,CASE_ENQUIRY_ID,Source,storm_event,Latitude,Longitude
56749,101002323491,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56750,101002323490,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56751,101002323489,Constituent Call,Bombogenesis,42.2576,-71.1204
56752,101002323488,Citizens Connect App,Bombogenesis,42.3397,-71.0488
56753,101002323487,Self Service,Bombogenesis,42.3406,-71.0802
56754,101002323486,Citizens Connect App,Bombogenesis,42.2861,-71.1189
56755,101002323485,Citizens Connect App,Bombogenesis,42.3834,-71.0791
56756,101002323483,Constituent Call,Bombogenesis,42.2854,-71.1208
56757,101002323482,Citizens Connect App,Bombogenesis,42.3102,-71.0637
56758,101002323480,Citizens Connect App,Bombogenesis,42.3472,-71.1042
56759,101002323479,Citizens Connect App,Bombogenesis,42.3467,-71.1061
56760,101002323478,Citizens Connect App,Bombogenesis,42.3466,-71.1043
56761,101002323477,Citizens Connect App,Bombogenesis,42.2963,-71.0542
56762,101002323476,Citizens Connect App,Bombogenesis,42.3437,-71.1411
56763,101002323475,Self Service,Bombogenesis,42.3326,-71.0406
56764,101002323474,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56765,101002323473,Citizens Connect App,Bombogenesis,42.3758,-71.0575
56766,101002323472,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56767,101002323471,Citizens Connect App,Bombogenesis,42.3455,-71.0992
56768,101002323469,Constituent Call,Bombogenesis,42.3133,-71.0772
56769,101002323468,Citizens Connect App,Bombogenesis,42.3577,-71.1311
56770,101002323467,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56771,101002323465,Citizens Connect App,Bombogenesis,42.3585,-71.0657
56772,101002323464,Citizens Connect App,Bombogenesis,42.3824,-71.0341
56773,101002323463,Citizens Connect App,Bombogenesis,42.3795,-71.0701
56774,101002323462,Citizens Connect App,Bombogenesis,42.3455,-71.1411
56775,101002323461,Constituent Call,Bombogenesis,42.3087,-71.0899
56776,101002323459,Citizens Connect App,Bombogenesis,42.345,-71.1415
56777,101002323457,Constituent Call,Bombogenesis,42.3281,-71.0572
56778,101002323456,Citizens Connect App,Bombogenesis,42.335,-71.0286
56779,101002323455,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56780,101002323454,Citizens Connect App,Bombogenesis,42.3352,-71.0335
56781,101002323453,Constituent Call,Bombogenesis,42.3136,-71.0642
56782,101002323452,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56783,101002323451,Citizens Connect App,Bombogenesis,42.2932,-71.0647
56784,101002323449,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56785,101002323448,Constituent Call,Bombogenesis,42.287,-71.1297
56786,101002323447,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56787,101002323446,Constituent Call,Bombogenesis,42.3594,-71.0587
56788,101002323444,Citizens Connect App,Bombogenesis,42.3219,-71.1024
56789,101002323442,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56790,101002323441,Constituent Call,Bombogenesis,42.3754,-71.0581
56791,101002323440,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56792,101002323439,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56793,101002323437,Citizens Connect App,Bombogenesis,42.2869,-71.1448
56794,101002323436,Constituent Call,Bombogenesis,42.3594,-71.0587
56795,101002323435,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56796,101002323434,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56797,101002323433,Citizens Connect App,Bombogenesis,42.3401,-71.082
56798,101002323431,Citizens Connect App,Bombogenesis,42.3317,-71.0568
56799,101002323430,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56800,101002323429,Constituent Call,Bombogenesis,42.3594,-71.0587
56801,101002323428,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56802,101002323427,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56803,101002323426,Constituent Call,Bombogenesis,42.3594,-71.0587
56804,101002323425,Self Service,Bombogenesis,42.3317,-71.0317
56805,101002323424,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56806,101002323423,Citizens Connect App,Bombogenesis,42.2832,-71.1221
56807,101002323422,Citizens Connect App,Bombogenesis,42.3345,-71.0575
56808,101002323421,Citizens Connect App,Bombogenesis,42.294,-71.0739
56809,101002323420,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56810,101002323419,Citizens Connect App,Bombogenesis,42.3377,-71.0923
56811,101002323418,Citizens Connect App,Bombogenesis,42.3397,-71.0748
56812,101002323416,Constituent Call,Bombogenesis,42.3594,-71.0587
56813,101002323415,Constituent Call,Bombogenesis,42.3332,-71.0587
56814,101002323414,Citizens Connect App,Bombogenesis,42.2981,-71.1132
56815,101002323413,Citizens Connect App,Bombogenesis,42.2925,-71.1156
56816,101002323412,Citizens Connect App,Bombogenesis,42.312,-71.0618
56817,101002323411,Citizens Connect App,Bombogenesis,42.3401,-71.1473
56818,101002323410,Citizens Connect App,Bombogenesis,42.3649,-71.0675
56819,101002323409,Self Service,Bombogenesis,42.275,-71.1604
56820,101002323408,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56821,101002323407,Citizens Connect App,Bombogenesis,42.3122,-71.0615
56822,101002323406,Constituent Call,Bombogenesis,42.3594,-71.0587
56823,101002323405,Citizens Connect App,Bombogenesis,42.3342,-71.05199999999999
56824,101002323404,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56825,101002323403,Constituent Call,Bombogenesis,42.3594,-71.0587
56826,101002323402,Constituent Call,Bombogenesis,42.306000000000004,-71.0681
56827,101002323401,Citizens Connect App,Bombogenesis,42.3406,-71.1459
56828,101002323399,Citizens Connect App,Bombogenesis,42.3117,-71.061
56829,101002323398,Citizens Connect App,Bombogenesis,42.3327,-71.0419
56830,101002323397,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56831,101002323396,Constituent Call,Bombogenesis,42.3594,-71.0587
56832,101002323395,Citizens Connect App,Bombogenesis,42.2551,-71.1273
56833,101002323393,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56834,101002323391,Citizens Connect App,Bombogenesis,42.3406,-71.1457
56835,101002323390,Citizens Connect App,Bombogenesis,42.3406,-71.1453
56836,101002323389,Constituent Call,Bombogenesis,42.3594,-71.0587
56837,101002323388,Constituent Call,Bombogenesis,42.3042,-71.1263
56838,101002323387,Citizens Connect App,Bombogenesis,42.2734,-71.1291
56839,101002323386,Citizens Connect App,Bombogenesis,42.297,-71.0647
56840,101002323384,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56841,101002323383,Self Service,Bombogenesis,42.3597,-71.0638
56842,101002323382,Constituent Call,Bombogenesis,42.3888,-71.0044
56843,101002323381,Constituent Call,Bombogenesis,42.3325,-71.0421
56844,101002323380,Citizens Connect App,Bombogenesis,42.2731,-71.1301
56845,101002323379,Citizens Connect App,Bombogenesis,42.3364,-71.0447
56846,101002323378,Citizens Connect App,Bombogenesis,42.2732,-71.1306
56847,101002323376,Constituent Call,Bombogenesis,42.3315,-71.0423
56848,101002323375,Citizens Connect App,Bombogenesis,42.3408,-71.0365
56849,101002323374,Citizens Connect App,Bombogenesis,42.3324,-71.0397
56850,101002323373,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56851,101002323372,Citizens Connect App,Bombogenesis,42.3032,-71.079
56852,101002323371,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56853,101002323370,Constituent Call,Bombogenesis,42.3329,-71.0411
56854,101002323369,Citizens Connect App,Bombogenesis,42.3012,-71.0846
56855,101002323368,Constituent Call,Bombogenesis,42.3109,-71.1162
56856,101002323367,Citizens Connect App,Bombogenesis,42.2956,-71.1169
56857,101002323366,Citizens Connect App,Bombogenesis,42.3305,-71.054
56858,101002323365,Self Service,Bombogenesis,42.2831,-71.0743
56859,101002323364,Citizens Connect App,Bombogenesis,42.341,-71.0727
56860,101002323363,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56861,101002323362,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56862,101002323361,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56863,101002323360,Constituent Call,Bombogenesis,42.3594,-71.0587
56864,101002323359,Citizens Connect App,Bombogenesis,42.2865,-71.1178
56865,101002323358,Citizens Connect App,Bombogenesis,42.3395,-71.0486
