,CASE_ENQUIRY_ID,Source,storm_event,Latitude,Longitude
53531,101002327249,Constituent Call,Normal,42.3594,-71.0587
53532,101002327247,Constituent Call,Normal,42.3076,-71.1191
53533,101002327244,Constituent Call,Normal,42.3518,-71.061
53534,101002327243,Constituent Call,Normal,42.3594,-71.0587
53535,101002327242,Constituent Call,Normal,42.2782,-71.1518
53536,101002327241,Citizens Connect App,Normal,42.3433,-71.0961
53537,101002327240,Citizens Connect App,Normal,42.3498,-71.0719
53538,101002327238,Citizens Connect App,Normal,42.3594,-71.0587
53539,101002327237,Constituent Call,Normal,42.3082,-71.066
53540,101002327235,Citizens Connect App,Normal,42.3594,-71.0587
53541,101002327234,Citizens Connect App,Normal,42.335,-71.0284
53542,101002327233,Citizens Connect App,Normal,42.3296,-71.0697
53543,101002327232,Citizens Connect App,Normal,42.3594,-71.0587
53544,101002327230,Citizens Connect App,Normal,42.3594,-71.0587
53545,101002327229,Citizens Connect App,Normal,42.3594,-71.0587
53546,101002327228,Citizens Connect App,Normal,42.324,-71.0594
53547,101002327227,Self Service,Normal,42.355,-71.0619
53548,101002327226,Citizens Connect App,Normal,42.3594,-71.0587
53549,101002327225,Self Service,Normal,42.3549,-71.0618
53550,101002327224,Citizens Connect App,Normal,42.3594,-71.0587
53551,101002327223,Citizens Connect App,Normal,42.3594,-71.0587
53552,101002327222,Citizens Connect App,Normal,42.3594,-71.0587
53553,101002327221,Constituent Call,Normal,42.3594,-71.0587
53554,101002327220,Citizens Connect App,Normal,42.3594,-71.0587
53555,101002327218,Self Service,Normal,42.3038,-71.1069
53556,101002327217,Citizens Connect App,Normal,42.3594,-71.0587
53557,101002327216,Constituent Call,Normal,42.3506,-71.126
53558,101002327215,Citizens Connect App,Normal,42.3365,-71.0449
53559,101002327214,Citizens Connect App,Normal,42.3668,-71.119
53560,101002327213,Citizens Connect App,Normal,42.2767,-71.1342
53561,101002327212,Citizens Connect App,Normal,42.3594,-71.0587
53562,101002327211,Citizens Connect App,Normal,42.3594,-71.0587
53563,101002327210,Citizens Connect App,Normal,42.3594,-71.0587
53564,101002327209,Constituent Call,Normal,42.2929,-71.0576
53565,101002327208,Citizens Connect App,Normal,42.3136,-71.1007
53566,101002327207,Citizens Connect App,Normal,42.3594,-71.0587
53567,101002327206,Citizens Connect App,Normal,42.2638,-71.119
53568,101002327205,Citizens Connect App,Normal,42.3363,-71.0535
53569,101002327204,Citizens Connect App,Normal,42.3419,-71.0786
53570,101002327203,Constituent Call,Normal,42.3594,-71.0587
53571,101002327201,Citizens Connect App,Normal,42.3063,-71.0643
53572,101002327200,Citizens Connect App,Normal,42.3128,-71.0568
53573,101002327199,Constituent Call,Normal,42.3594,-71.0587
53574,101002327198,Citizens Connect App,Normal,42.3594,-71.0587
53575,101002327196,Citizens Connect App,Normal,42.2879,-71.14399999999999
53576,101002327195,Citizens Connect App,Normal,42.3594,-71.0587
53577,101002327194,Citizens Connect App,Normal,42.3834,-71.0199
53578,101002327192,Citizens Connect App,Normal,42.3285,-71.0567
53579,101002327190,Constituent Call,Normal,42.3592,-71.0687
53580,101002327189,Citizens Connect App,Normal,42.3487,-71.0696
53581,101002327188,Constituent Call,Normal,42.358999999999995,-71.0688
53582,101002327187,Citizens Connect App,Normal,42.3594,-71.0587
53583,101002327186,Constituent Call,Normal,42.3592,-71.0687
53584,101002327185,City Worker App,Normal,42.3297,-71.092
53585,101002327184,Self Service,Normal,42.2839,-71.0709
53586,101002327183,Citizens Connect App,Normal,42.3227,-71.079
53587,101002327182,Constituent Call,Normal,42.3594,-71.0587
53588,101002327181,Constituent Call,Normal,42.343999999999994,-71.0763
53589,101002327179,Constituent Call,Normal,42.3594,-71.0587
53590,101002327178,Citizens Connect App,Normal,42.3129,-71.0686
53591,101002327177,Self Service,Normal,42.312,-71.0547
53592,101002327176,Citizens Connect App,Normal,42.3031,-71.1144
53593,101002327175,Citizens Connect App,Normal,42.3594,-71.0587
53594,101002327174,Constituent Call,Normal,42.3673,-71.0321
53595,101002327173,Citizens Connect App,Normal,42.338,-71.1045
53596,101002327172,Citizens Connect App,Normal,42.3594,-71.0587
53597,101002327171,Citizens Connect App,Normal,42.3603,-71.0583
